season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,Chicago,Chicago Black Hawks,NHL,American,,,,,true,0,false,false
1927,Chicago,Chicago Black Hawks,NHL,American,,LAST,LAST,,false,,,
1928,Chicago,Chicago Black Hawks,NHL,American,,LAST,LAST,,false,,,
1929,Chicago,Chicago Black Hawks,NHL,American,,,,,true,0,false,false
1930,Chicago,Chicago Black Hawks,NHL,American,,,,,true,2,true,false
1931,Chicago,Chicago Black Hawks,NHL,American,,,,,true,0,false,false
1932,Chicago,Chicago Black Hawks,NHL,American,,,LAST,,false,,,
1933,Chicago,Chicago Black Hawks,NHL,American,,,,,true,3,true,true
1934,Chicago,Chicago Black Hawks,NHL,American,,,,,true,0,false,false
1935,Chicago,Chicago Black Hawks,NHL,American,,,LAST_TIED,,true,0,false,false
1936,Chicago,Chicago Black Hawks,NHL,American,,,LAST,,false,,,
1937,Chicago,Chicago Black Hawks,NHL,American,,,,,true,3,true,true
1938,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1939,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1940,Chicago,Chicago Black Hawks,NHL,,,,,,true,1,false,false
1941,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1942,Chicago,Chicago Black Hawks,NHL,,,,,,false,,,
1943,Chicago,Chicago Black Hawks,NHL,,,,,,true,1,true,false
1944,Chicago,Chicago Black Hawks,NHL,,,,,,false,,,
1945,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1946,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1947,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1948,Chicago,Chicago Black Hawks,NHL,,,,,,false,,,
1949,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1950,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1951,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1952,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1953,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1954,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1955,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1956,Chicago,Chicago Black Hawks,NHL,,,LAST,,,false,,,
1957,Chicago,Chicago Black Hawks,NHL,,,,,,false,,,
1958,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1959,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,false,false
1960,Chicago,Chicago Black Hawks,NHL,,,,,,true,2,true,true
1961,Chicago,Chicago Black Hawks,NHL,,,,,,true,1,true,false
1962,Chicago,Chicago Black Hawks,NHL,,,,,,true,0,,
