season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2000,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,LAST_TIED,false,,,
2001,Columbus,Columbus Blue Jackets,NHL,Western,Central,,LAST,LAST,false,,,
2002,Columbus,Columbus Blue Jackets,NHL,Western,Central,,LAST,LAST,false,,,
2003,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,false,,,
2005,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,false,,,
2006,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,false,,,
2007,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,false,,,
2008,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,true,0,,
2009,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,LAST,false,,,
2010,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,LAST,false,,,
2011,Columbus,Columbus Blue Jackets,NHL,Western,Central,LAST,LAST,LAST,false,,,
2012,Columbus,Columbus Blue Jackets,NHL,Western,Central,,,,false,,,
2013,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,true,0,,
2014,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,false,,,
2015,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,LAST,false,,,
2016,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,true,0,,
2017,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,true,0,,
2018,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,true,1,,
2019,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,true,1,,
2020,Columbus,Columbus Blue Jackets,NHL,Central,,,LAST_TIED,,false,,,
2021,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,,,false,,,
2022,Columbus,Columbus Blue Jackets,NHL,Eastern,Metropolitan,,LAST,LAST,false,,,
