season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,Detroit,Detroit Cougars,NHL,American,,LAST,LAST,,false,,,
1927,Detroit,Detroit Cougars,NHL,American,,,,,false,,,
1928,Detroit,Detroit Cougars,NHL,American,,,,,true,0,false,false
1929,Detroit,Detroit Cougars,NHL,American,,,,,false,,,
1930,Detroit,Detroit Falcons,NHL,American,,,,,false,,,
1931,Detroit,Detroit Falcons,NHL,American,,,,,true,0,false,false
1932,Detroit,Detroit Red Wings,NHL,American,,FIRST_TIED,FIRST_TIED,,true,1,false,false
1933,Detroit,Detroit Red Wings,NHL,American,,,FIRST,,true,1,true,false
1934,Detroit,Detroit Red Wings,NHL,American,,,LAST,,false,,,
1935,Detroit,Detroit Red Wings,NHL,American,,FIRST,FIRST,,true,2,true,true
1936,Detroit,Detroit Red Wings,NHL,American,,FIRST,FIRST,,true,2,true,true
1937,Detroit,Detroit Red Wings,NHL,American,,,LAST,,false,,,
1938,Detroit,Detroit Red Wings,NHL,,,,,,true,1,false,false
1939,Detroit,Detroit Red Wings,NHL,,,,,,true,1,false,false
1940,Detroit,Detroit Red Wings,NHL,,,,,,true,2,true,false
1941,Detroit,Detroit Red Wings,NHL,,,,,,true,2,true,false
1942,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,2,true,true
1943,Detroit,Detroit Red Wings,NHL,,,,,,true,0,false,false
1944,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1945,Detroit,Detroit Red Wings,NHL,,,,,,true,0,false,false
1946,Detroit,Detroit Red Wings,NHL,,,,,,true,0,false,false
1947,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1948,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,1,true,false
1949,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,2,true,true
1950,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,0,false,false
1951,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,2,true,true
1952,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,0,false,false
1953,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,2,true,true
1954,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,2,true,true
1955,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1956,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,0,false,false
1957,Detroit,Detroit Red Wings,NHL,,,,,,true,0,false,false
1958,Detroit,Detroit Red Wings,NHL,,,LAST,,,false,,,
1959,Detroit,Detroit Red Wings,NHL,,,,,,true,0,false,false
1960,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1961,Detroit,Detroit Red Wings,NHL,,,,,,false,,,
1962,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1963,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1964,Detroit,Detroit Red Wings,NHL,,,FIRST,,,true,0,false,false
1965,Detroit,Detroit Red Wings,NHL,,,,,,true,1,true,false
1966,Detroit,Detroit Red Wings,NHL,,,,,,false,,,
1967,Detroit,Detroit Red Wings,NHL,East,,,LAST,,false,,,
1968,Detroit,Detroit Red Wings,NHL,East,,,,,false,,,
1969,Detroit,Detroit Red Wings,NHL,East,,,,,true,0,false,false
1970,Detroit,Detroit Red Wings,NHL,East,,,LAST,,false,,,
1971,Detroit,Detroit Red Wings,NHL,East,,,,,false,,,
1972,Detroit,Detroit Red Wings,NHL,East,,,,,false,,,
1973,Detroit,Detroit Red Wings,NHL,East,,,,,false,,,
1974,Detroit,Detroit Red Wings,NHL,Prince of Wales,Norris,,,,false,,,
1975,Detroit,Detroit Red Wings,NHL,Prince of Wales,Norris,,,,false,,,
1976,Detroit,Detroit Red Wings,NHL,Prince of Wales,Norris,LAST,LAST,LAST,false,,,
