season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1979,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,0,,
1980,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,1,,
1981,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,FIRST,FIRST,true,0,,
1982,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,FIRST,FIRST,true,3,true,
1983,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,FIRST,FIRST,FIRST,true,4,true,true
1984,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,FIRST,FIRST,true,4,true,true
1985,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,FIRST,FIRST,FIRST,true,1,,
1986,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,FIRST,FIRST,FIRST,true,4,true,true
1987,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,4,true,true
1988,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,0,,
1989,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,4,true,true
1990,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,2,,
1991,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,true,2,,
1992,Edmonton,Edmonton Oilers,NHL,Campbell,Smythe,,,,false,,,
1993,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,LAST,false,,,
1994,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,false,,,
1995,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,false,,,
1996,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,1,,
1997,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,1,,
1998,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,true,0,,
1999,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,true,0,,
2000,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,true,0,,
2001,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,false,,,
2002,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,true,0,,
2003,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,false,,,
2005,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,true,3,true,
2006,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,LAST,false,,,
2007,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,LAST_TIED,false,,,
2008,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,false,,,
2009,Edmonton,Edmonton Oilers,NHL,Western,Northwest,LAST,LAST,LAST,false,,,
2010,Edmonton,Edmonton Oilers,NHL,Western,Northwest,LAST,LAST,LAST,false,,,
2011,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,LAST,false,,,
2012,Edmonton,Edmonton Oilers,NHL,Western,Northwest,,,,false,,,
2013,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,LAST,LAST,false,,,
2014,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,false,,,
2015,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,LAST,LAST,false,,,
2016,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,1,,
2017,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,false,,,
2018,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,false,,,
2019,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,0,,
2020,Edmonton,Edmonton Oilers,NHL,North,,,,,true,0,,
2021,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,2,,
2022,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,1,,
2023,Edmonton,Edmonton Oilers,NHL,Western,Pacific,,,,true,3,true,false
