season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1993,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
1994,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
1995,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,true,3,true,
1996,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,true,0,,
1997,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
1998,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
1999,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,true,0,,
2000,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2001,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2002,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2003,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2005,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2006,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2007,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2008,Miami,Florida Panthers,NHL,Eastern,Southeast,,,,false,,,
2009,Miami,Florida Panthers,NHL,Eastern,Southeast,,,LAST,false,,,
2010,Miami,Florida Panthers,NHL,Eastern,Southeast,,LAST,LAST,false,,,
2011,Miami,Florida Panthers,NHL,Eastern,Southeast,,,FIRST,true,0,,
2012,Miami,Florida Panthers,NHL,Eastern,Southeast,LAST,LAST,LAST,false,,,
2013,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
2014,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
2015,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,FIRST,true,0,,
2016,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
2017,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
2018,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,false,,,
2019,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,true,0,,
2020,Miami,Florida Panthers,NHL,Central,,,,,true,0,,
2021,Miami,Florida Panthers,NHL,Eastern,Atlantic,FIRST,FIRST,FIRST,true,1,,
2022,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,,true,3,true,
2023,Miami,Florida Panthers,NHL,Eastern,Atlantic,,,FIRST,true,4,true,true
