season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2000,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,LAST,false,,,
2001,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,LAST,false,,,
2002,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,true,2,false,false
2003,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,LAST,false,,,
2005,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,LAST,false,,,
2006,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,true,0,false,false
2007,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,FIRST,true,0,false,false
2008,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,false,,,
2009,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,false,,,
2010,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,false,,,
2011,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,false,,,
2012,Minneapolis,Minnesota Wild,NHL,Western,Northwest,,,,true,0,false,false
2013,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,1,false,false
2014,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,1,false,false
2015,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2016,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2017,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2018,Minneapolis,Minnesota Wild,NHL,Western,Central,,,LAST,false,,,
2019,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2020,Minneapolis,Minnesota Wild,NHL,West,,,,,true,0,false,false
2021,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2022,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,true,0,false,false
2023,Minneapolis,Minnesota Wild,NHL,Western,Central,,,,false,,,
