season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,Montreal,Montreal Canadiens,NHL,Canadian,,,,,true,1,false,false
1927,Montreal,Montreal Canadiens,NHL,Canadian,,FIRST,FIRST,,true,0,false,false
1928,Montreal,Montreal Canadiens,NHL,Canadian,,FIRST,FIRST,,true,0,false,false
1929,Montreal,Montreal Canadiens,NHL,Canadian,,,FIRST_TIED,,true,3,true,true
1930,Montreal,Montreal Canadiens,NHL,Canadian,,,FIRST,,true,2,true,true
1931,Montreal,Montreal Canadiens,NHL,Canadian,,FIRST,FIRST,,true,0,false,false
1932,Montreal,Montreal Canadiens,NHL,Canadian,,,,,true,0,false,false
1933,Montreal,Montreal Canadiens,NHL,Canadian,,,,,true,0,false,false
1934,Montreal,Montreal Canadiens,NHL,Canadian,,,,,true,0,false,false
1935,Montreal,Montreal Canadiens,NHL,Canadian,,LAST,LAST,,false,,,
1936,Montreal,Montreal Canadiens,NHL,Canadian,,,FIRST,,true,0,false,false
1937,Montreal,Montreal Canadiens,NHL,Canadian,,,,,true,0,false,false
1938,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1939,Montreal,Montreal Canadiens,NHL,,,LAST,,,false,,,
1940,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1941,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1942,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1943,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1944,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,0,false,false
1945,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1946,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,1,true,false
1947,Montreal,Montreal Canadiens,NHL,,,,,,false,,,
1948,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1949,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1950,Montreal,Montreal Canadiens,NHL,,,,,,true,1,true,false
1951,Montreal,Montreal Canadiens,NHL,,,,,,true,1,true,false
1952,Montreal,Montreal Canadiens,NHL,,,,,,true,2,true,true
1953,Montreal,Montreal Canadiens,NHL,,,,,,true,1,true,false
1954,Montreal,Montreal Canadiens,NHL,,,,,,true,1,true,false
1955,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1956,Montreal,Montreal Canadiens,NHL,,,,,,true,2,true,true
1957,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1958,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1959,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1960,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,0,false,false
1961,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,0,false,false
1962,Montreal,Montreal Canadiens,NHL,,,,,,true,0,false,false
1963,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,0,false,false
1964,Montreal,Montreal Canadiens,NHL,,,,,,true,2,true,true
1965,Montreal,Montreal Canadiens,NHL,,,FIRST,,,true,2,true,true
1966,Montreal,Montreal Canadiens,NHL,,,,,,true,1,true,false
1967,Montreal,Montreal Canadiens,NHL,East,,FIRST,FIRST,,true,3,true,true
1968,Montreal,Montreal Canadiens,NHL,East,,FIRST,FIRST,,true,3,true,true
1969,Montreal,Montreal Canadiens,NHL,East,,,,,false,,,
1970,Montreal,Montreal Canadiens,NHL,East,,,,,true,3,true,true
1971,Montreal,Montreal Canadiens,NHL,East,,,,,true,0,false,false
1972,Montreal,Montreal Canadiens,NHL,East,,FIRST,FIRST,,true,3,true,true
1973,Montreal,Montreal Canadiens,NHL,East,,,,,true,0,false,false
1974,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
1975,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,FIRST,FIRST,FIRST,true,3,true,true
1976,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,FIRST,FIRST,FIRST,true,3,true,true
1977,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,FIRST,FIRST,FIRST,true,3,true,true
1978,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,,FIRST,FIRST,true,3,true,true
1979,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,,,FIRST,true,1,false,false
1980,Montreal,Montreal Canadiens,NHL,Prince of Wales,Norris,,FIRST,FIRST,true,0,false,false
1981,Montreal,Montreal Canadiens,NHL,Prince of Wales,Adams,,,FIRST,true,0,false,false
1982,Montreal,Montreal Canadiens,NHL,Prince of Wales,Adams,,,,true,0,false,false
1983,Montreal,Montreal Canadiens,NHL,Prince of Wales,Adams,,,,true,2,false,false
