season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1974,Kansas City,Kansas City Scouts,NHL,Campbell,Smythe,,LAST,LAST,false,,,
1975,Kansas City,Kansas City Scouts,NHL,Campbell,Smythe,,LAST,LAST,false,,,
1976,Denver,Colorado Rockies,NHL,Campbell,Smythe,,LAST,LAST,false,,,
1977,Denver,Colorado Rockies,NHL,Campbell,Smythe,,,,true,0,false,false
1978,Denver,Colorado Rockies,NHL,Campbell,Smythe,LAST,LAST,LAST,false,,,
1979,Denver,Colorado Rockies,NHL,Campbell,Smythe,LAST_TIED,LAST_TIED,LAST_TIED,false,,,
1980,Denver,Colorado Rockies,NHL,Campbell,Smythe,,,,false,,,
1981,Denver,Colorado Rockies,NHL,Campbell,Smythe,LAST,LAST,LAST,false,,,
1982,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,false,,,
1983,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,false,,,
1984,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,false,,,
1985,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,LAST,LAST,false,,,
1986,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,LAST_TIED,LAST_TIED,LAST,false,,,
1987,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,true,2,false,false
1988,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,false,,,
1989,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1990,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1991,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1992,New York,New Jersey Devils,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1993,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,2,false,false
1994,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,4,true,true
1995,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,false,,,
1996,New York,New Jersey Devils,NHL,Eastern,Atlantic,,FIRST,FIRST,true,1,false,false
1997,New York,New Jersey Devils,NHL,Eastern,Atlantic,,FIRST,FIRST,true,0,false,false
1998,New York,New Jersey Devils,NHL,Eastern,Atlantic,,FIRST,FIRST,true,0,false,false
1999,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,4,true,true
2000,New York,New Jersey Devils,NHL,Eastern,Atlantic,,FIRST,FIRST,true,3,true,false
2001,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,0,false,false
2002,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,FIRST,true,4,true,true
2003,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,0,false,false
2005,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,FIRST_TIED,true,1,false,false
2006,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,FIRST,true,1,false,false
2007,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,0,false,false
2008,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,FIRST,true,0,false,false
2009,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,FIRST,true,0,false,false
2010,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,false,,,
2011,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,,true,3,true,false
2012,New York,New Jersey Devils,NHL,Eastern,Atlantic,,,LAST,false,,,
2013,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,false,,,
2014,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,false,,,
2015,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,false,,,
2016,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,LAST,LAST,false,,,
2017,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,true,0,false,false
2018,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,LAST,false,,,
2019,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,LAST,false,,,
2020,New York,New Jersey Devils,NHL,East,,,,,false,,,
2021,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,false,,,
2022,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,true,1,false,false
2023,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,false,,,
2024,New York,New Jersey Devils,NHL,Eastern,Metropolitan,,,,true,0,false,false
