season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1972,New York,New York Islanders,NHL,East,,LAST,LAST,,false,,,
1973,New York,New York Islanders,NHL,East,,,LAST,,false,,,
1974,New York,New York Islanders,NHL,Campbell,Patrick,,,,true,2,,
1975,New York,New York Islanders,NHL,Campbell,Patrick,,,,true,2,,
1976,New York,New York Islanders,NHL,Campbell,Patrick,,,,true,2,,
1977,New York,New York Islanders,NHL,Campbell,Patrick,,FIRST,FIRST,true,0,,
1978,New York,New York Islanders,NHL,Campbell,Patrick,FIRST,FIRST,FIRST,true,1,,
1979,New York,New York Islanders,NHL,Campbell,Patrick,,,,true,4,true,true
1980,New York,New York Islanders,NHL,Campbell,Patrick,FIRST,FIRST,FIRST,true,4,true,true
1981,New York,New York Islanders,NHL,Prince of Wales,Patrick,FIRST,FIRST,FIRST,true,4,true,true
1982,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,4,true,true
1983,New York,New York Islanders,NHL,Prince of Wales,Patrick,,FIRST_TIED,FIRST,true,3,true,
1984,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,1,,
1985,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,0,,
1986,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,1,,
1987,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,FIRST,true,0,,
1988,New York,New York Islanders,NHL,Prince of Wales,Patrick,LAST_TIED,LAST_TIED,LAST,false,,,
1989,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,0,,
1990,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,LAST,false,,,
1991,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,false,,,
1992,New York,New York Islanders,NHL,Prince of Wales,Patrick,,,,true,2,,
1993,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
1994,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
1995,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
1996,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
1997,New York,New York Islanders,NHL,Eastern,Atlantic,,,,false,,,
1998,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
1999,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
2000,New York,New York Islanders,NHL,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2001,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
2002,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
2003,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
2005,New York,New York Islanders,NHL,Eastern,Atlantic,,,,false,,,
2006,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
2007,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
2008,New York,New York Islanders,NHL,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2009,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
2010,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
2011,New York,New York Islanders,NHL,Eastern,Atlantic,,,LAST,false,,,
2012,New York,New York Islanders,NHL,Eastern,Atlantic,,,,true,0,,
2013,New York,New York Islanders,NHL,Eastern,Metropolitan,,,LAST,false,,,
2014,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,0,,
2015,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,1,,
2016,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,false,,,
2017,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,false,,,
2018,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,1,,
2019,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,3,,
2020,New York,New York Islanders,NHL,East,,,,,true,2,,
2021,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,false,,,
2022,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,0,,
2023,New York,New York Islanders,NHL,Eastern,Metropolitan,,,,true,0,,
