season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,New York,New York Rangers,NHL,American,,,FIRST,,true,0,false,false
1927,New York,New York Rangers,NHL,American,,,,,true,3,true,true
1928,New York,New York Rangers,NHL,American,,,,,true,2,true,false
1929,New York,New York Rangers,NHL,American,,,,,true,1,false,false
1930,New York,New York Rangers,NHL,American,,,,,true,1,false,false
1931,New York,New York Rangers,NHL,American,,,FIRST,,true,1,true,false
1932,New York,New York Rangers,NHL,American,,,,,true,3,true,true
1933,New York,New York Rangers,NHL,American,,,,,true,0,false,false
1934,New York,New York Rangers,NHL,American,,,,,true,1,false,false
1935,New York,New York Rangers,NHL,American,,,LAST_TIED,,false,,,
1936,New York,New York Rangers,NHL,American,,,,,true,2,true,false
1937,New York,New York Rangers,NHL,American,,,,,true,0,false,false
1938,New York,New York Rangers,NHL,,,,,,true,0,false,false
1939,New York,New York Rangers,NHL,,,,,,true,2,true,true
1940,New York,New York Rangers,NHL,,,,,,true,0,false,false
1941,New York,New York Rangers,NHL,,,FIRST,,,true,0,false,false
1942,New York,New York Rangers,NHL,,,LAST,,,false,,,
1943,New York,New York Rangers,NHL,,,LAST,,,false,,,
1944,New York,New York Rangers,NHL,,,LAST,,,false,,,
1945,New York,New York Rangers,NHL,,,LAST,,,false,,,
1946,New York,New York Rangers,NHL,,,,,,false,,,
1947,New York,New York Rangers,NHL,,,,,,true,0,false,false
1948,New York,New York Rangers,NHL,,,LAST,,,false,,,
1949,New York,New York Rangers,NHL,,,,,,true,1,true,false
1950,New York,New York Rangers,NHL,,,,,,false,,,
1951,New York,New York Rangers,NHL,,,,,,false,,,
1952,New York,New York Rangers,NHL,,,LAST,,,false,,,
1953,New York,New York Rangers,NHL,,,,,,false,,,
1954,New York,New York Rangers,NHL,,,,,,false,,,
1955,New York,New York Rangers,NHL,,,,,,true,0,false,false
1956,New York,New York Rangers,NHL,,,,,,true,0,false,false
1957,New York,New York Rangers,NHL,,,,,,true,0,false,false
1958,New York,New York Rangers,NHL,,,,,,false,,,
1959,New York,New York Rangers,NHL,,,LAST,,,false,,,
1960,New York,New York Rangers,NHL,,,,,,false,,,
1961,New York,New York Rangers,NHL,,,,,,true,0,false,false
1962,New York,New York Rangers,NHL,,,,,,false,,,
1963,New York,New York Rangers,NHL,,,,,,false,,,
1964,New York,New York Rangers,NHL,,,,,,false,,,
1965,New York,New York Rangers,NHL,,,LAST,,,false,,,
1966,New York,New York Rangers,NHL,,,,,,true,0,false,false
1967,New York,New York Rangers,NHL,East,,,,,true,0,false,false
1968,New York,New York Rangers,NHL,East,,,,,true,0,false,false
1969,New York,New York Rangers,NHL,East,,,,,true,0,false,false
1970,New York,New York Rangers,NHL,East,,,,,true,1,false,false
1971,New York,New York Rangers,NHL,East,,,,,true,2,true,false
1972,New York,New York Rangers,NHL,East,,,,,true,1,false,false
1973,New York,New York Rangers,NHL,East,,,,,true,1,false,false
1974,New York,New York Rangers,NHL,Campbell,Patrick,,,,true,0,false,false
1975,New York,New York Rangers,NHL,Campbell,Patrick,,,LAST,false,,,
1976,New York,New York Rangers,NHL,Campbell,Patrick,,,LAST,false,,,
1977,New York,New York Rangers,NHL,Campbell,Patrick,,,LAST,true,0,false,false
1978,New York,New York Rangers,NHL,Campbell,Patrick,,,,true,3,true,false
1979,New York,New York Rangers,NHL,Campbell,Patrick,,,,true,1,false,false
1980,New York,New York Rangers,NHL,Campbell,Patrick,,,,true,2,false,false
1981,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1982,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1983,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1984,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1985,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,2,false,false
1986,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1987,New York,New York Rangers,NHL,Prince of Wales,Patrick,,,,false,,,
