season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1992,Tampa Bay,Tampa Bay Lightning,NHL,Campbell,Norris,,,LAST,false,,,
1993,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,LAST,false,,,
1994,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,false,,,
1995,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,0,false,false
1996,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,false,,,
1997,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1998,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,LAST,LAST,LAST,false,,,
1999,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,false,,,
2000,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,LAST,false,,,
2001,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,false,,,
2002,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,FIRST,true,1,,
2003,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,FIRST,FIRST,true,4,true,true
2005,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,true,0,,
2006,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,true,0,,
2007,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,LAST_TIED,LAST,LAST,false,,,
2008,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,LAST,false,,,
2009,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,false,,,
2010,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,true,2,,
2011,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,false,,,
2012,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,,false,,,
2013,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,0,,
2014,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,3,true,false
2015,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,2,,
2016,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,false,,,
2017,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,FIRST,FIRST,true,2,,
2018,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,FIRST,FIRST,FIRST,true,0,,
2019,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,4,true,true
2020,Tampa Bay,Tampa Bay Lightning,NHL,Central,,,,,true,4,true,true
2021,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,3,true,false
2022,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,0,false,false
2023,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,,true,0,,
