season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1974,Washington,Washington Capitals,NHL,Prince of Wales,Norris,LAST,LAST,LAST,false,,,
1975,Washington,Washington Capitals,NHL,Prince of Wales,Norris,LAST,LAST,LAST,false,,,
1976,Washington,Washington Capitals,NHL,Prince of Wales,Norris,,,,false,,,
1977,Washington,Washington Capitals,NHL,Prince of Wales,Norris,,LAST,LAST,false,,,
1978,Washington,Washington Capitals,NHL,Prince of Wales,Norris,,,,false,,,
1979,Washington,Washington Capitals,NHL,Campbell,Patrick,,,LAST,false,,,
1980,Washington,Washington Capitals,NHL,Campbell,Patrick,,,LAST,false,,,
1981,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,LAST,false,,,
1982,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1983,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1984,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1985,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1986,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1987,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1988,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,FIRST,true,0,false,false
1989,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,2,false,false
1990,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,1,false,false
1991,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1992,Washington,Washington Capitals,NHL,Prince of Wales,Patrick,,,,true,0,false,false
1993,Washington,Washington Capitals,NHL,Eastern,Atlantic,,,,true,1,false,false
1994,Washington,Washington Capitals,NHL,Eastern,Atlantic,,,,true,0,false,false
1995,Washington,Washington Capitals,NHL,Eastern,Atlantic,,,,true,0,false,false
1996,Washington,Washington Capitals,NHL,Eastern,Atlantic,,,,false,,,
1997,Washington,Washington Capitals,NHL,Eastern,Atlantic,,,,true,3,true,false
1998,Washington,Washington Capitals,NHL,Eastern,Southeast,,,,false,,,
1999,Washington,Washington Capitals,NHL,Eastern,Southeast,,,FIRST,true,0,false,false
2000,Washington,Washington Capitals,NHL,Eastern,Southeast,,,FIRST,true,0,false,false
2001,Washington,Washington Capitals,NHL,Eastern,Southeast,,,,false,,,
2002,Washington,Washington Capitals,NHL,Eastern,Southeast,,,,true,0,false,false
2003,Washington,Washington Capitals,NHL,Eastern,Southeast,,,LAST,false,,,
2005,Washington,Washington Capitals,NHL,Eastern,Southeast,,,LAST,false,,,
2006,Washington,Washington Capitals,NHL,Eastern,Southeast,,,LAST,false,,,
2007,Washington,Washington Capitals,NHL,Eastern,Southeast,,,FIRST,true,0,false,false
2008,Washington,Washington Capitals,NHL,Eastern,Southeast,,,FIRST,true,1,false,false
2009,Washington,Washington Capitals,NHL,Eastern,Southeast,FIRST,FIRST,FIRST,true,0,false,false
2010,Washington,Washington Capitals,NHL,Eastern,Southeast,,FIRST,FIRST,true,1,false,false
2011,Washington,Washington Capitals,NHL,Eastern,Southeast,,,,true,1,false,false
2012,Washington,Washington Capitals,NHL,Eastern,Southeast,,,FIRST,true,0,false,false
2013,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,,false,,,
2014,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,,true,1,false,false
2015,Washington,Washington Capitals,NHL,Eastern,Metropolitan,FIRST,FIRST,FIRST,true,1,false,false
2016,Washington,Washington Capitals,NHL,Eastern,Metropolitan,FIRST,FIRST,FIRST,true,1,false,false
2017,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,FIRST,true,4,true,true
2018,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,FIRST,true,0,false,false
2019,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,FIRST,true,0,false,false
2020,Washington,Washington Capitals,NHL,East,,,FIRST_TIED,,true,0,false,false
2021,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,,true,0,false,false
2022,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,,false,,,
2023,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,,,true,0,false,false
2024,Washington,Washington Capitals,NHL,Eastern,Metropolitan,,FIRST,FIRST,true,1,false,false
