season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1999,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,LAST,LAST,LAST,false,,,
2000,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2001,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,LAST,LAST,LAST,false,,,
2002,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2003,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2005,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2006,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,FIRST,true,0,false,false
2007,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2008,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2009,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2010,Atlanta,Atlanta Thrashers,NHL,Eastern,Southeast,,,,false,,,
2011,Winnipeg,Winnipeg Jets,NHL,Eastern,Southeast,,,,false,,,
2012,Winnipeg,Winnipeg Jets,NHL,Eastern,Southeast,,,,false,,,
2013,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,LAST,false,,,
2014,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
2015,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,LAST,false,,,
2016,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,false,,,
2017,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,2,false,false
2018,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
2019,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
2020,Winnipeg,Winnipeg Jets,NHL,North,,,,,true,1,false,false
2021,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,false,,,
2022,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
2023,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
2024,Winnipeg,Winnipeg Jets,NHL,Western,Central,FIRST,FIRST,FIRST,true,1,false,false
