season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2008,Atlanta,Atlanta Dream,WNBA,East,,LAST,LAST,,false,,,
2009,Atlanta,Atlanta Dream,WNBA,East,,,,,true,0,,
2010,Atlanta,Atlanta Dream,WNBA,East,,,,,true,2,true,
2011,Atlanta,Atlanta Dream,WNBA,East,,,,,true,2,true,
2012,Atlanta,Atlanta Dream,WNBA,East,,,,,true,0,,
2013,Atlanta,Atlanta Dream,WNBA,East,,,,,true,2,true,
2014,Atlanta,Atlanta Dream,WNBA,East,,,FIRST,,true,0,,
2015,Atlanta,Atlanta Dream,WNBA,East,,,LAST_TIED,,false,,,
2016,Atlanta,Atlanta Dream,WNBA,East,,,,,true,1,,
2017,Atlanta,Atlanta Dream,WNBA,East,,,,,false,,,
2018,Atlanta,Atlanta Dream,WNBA,East,,,FIRST,,true,0,,
2019,Atlanta,Atlanta Dream,WNBA,East,,LAST,LAST,,false,,,
2020,Atlanta,Atlanta Dream,WNBA,East,,,,,false,,,
2021,Atlanta,Atlanta Dream,WNBA,East,,,,,false,,,
2022,Atlanta,Atlanta Dream,WNBA,East,,,,,false,,,
2023,Atlanta,Atlanta Dream,WNBA,East,,,,,true,0,,
2024,Atlanta,Atlanta Dream,WNBA,East,,,,,true,0,,
