season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1999,Orlando,Orlando Miracle,WNBA,East,,,,,,,,
2000,Orlando,Orlando Miracle,WNBA,East,,,,,true,0,,
2001,Orlando,Orlando Miracle,WNBA,East,,,,,,,,
2002,Orlando,Orlando Miracle,WNBA,East,,,,,,,,
2003,Hartford,Connecticut Sun,WNBA,East,,,,,true,1,,
2004,Hartford,Connecticut Sun,WNBA,East,,,FIRST_TIED,,true,2,true,
2005,Hartford,Connecticut Sun,WNBA,East,,FIRST,FIRST,,true,2,true,
2006,Hartford,Connecticut Sun,WNBA,East,,FIRST,FIRST,,true,1,,
2007,Hartford,Connecticut Sun,WNBA,East,,,,,true,0,,
2008,Hartford,Connecticut Sun,WNBA,East,,,,,true,0,,
2009,Hartford,Connecticut Sun,WNBA,East,,,,,,,,
2010,Hartford,Connecticut Sun,WNBA,East,,,,,,,,
2011,Hartford,Connecticut Sun,WNBA,East,,,FIRST_TIED,,true,0,,
2012,Hartford,Connecticut Sun,WNBA,East,,,FIRST,,true,1,,
2013,Hartford,Connecticut Sun,WNBA,East,,LAST,LAST_TIED,,,,,
2014,Hartford,Connecticut Sun,WNBA,East,,,LAST,,,,,
2015,Hartford,Connecticut Sun,WNBA,East,,,LAST_TIED,,,,,
2016,Hartford,Connecticut Sun,WNBA,East,,,,,,,,
2017,Hartford,Connecticut Sun,WNBA,East,,,,,true,0,,
2018,Hartford,Connecticut Sun,WNBA,East,,,,,true,0,,
2019,Hartford,Connecticut Sun,WNBA,East,,,,,true,1,true,
2020,Hartford,Connecticut Sun,WNBA,East,,,,,true,2,,
2021,Hartford,Connecticut Sun,WNBA,East,,FIRST,FIRST,,true,0,,
2022,Hartford,Connecticut Sun,WNBA,East,,,,,true,2,true,
2023,Hartford,Connecticut Sun,WNBA,East,,,,,true,1,,
2024,Hartford,Connecticut Sun,WNBA,East,,,,,true,1,,
