season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1997,Houston,Houston Comets,WNBA,East,,FIRST,FIRST,,true,2,true,true
1998,Houston,Houston Comets,WNBA,West,,FIRST,FIRST,,true,2,true,true
1999,Houston,Houston Comets,WNBA,West,,FIRST,FIRST,,true,2,true,true
2000,Houston,Houston Comets,WNBA,West,,,,,true,3,true,true
2001,Houston,Houston Comets,WNBA,West,,,,,true,0,false,false
2002,Houston,Houston Comets,WNBA,West,,,,,true,0,false,false
2003,Houston,Houston Comets,WNBA,West,,,,,true,0,false,false
2004,Houston,Houston Comets,WNBA,West,,,,,false,,,
2005,Houston,Houston Comets,WNBA,West,,,,,true,1,false,false
2006,Houston,Houston Comets,WNBA,West,,,,,true,0,false,false
2007,Houston,Houston Comets,WNBA,West,,,,,false,,,
2008,Houston,Houston Comets,WNBA,West,,,,,false,,,
