season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2000,Indianapolis,Indiana Fever,WNBA,East,,,,,false,,,
2001,Indianapolis,Indiana Fever,WNBA,East,,LAST_TIED,LAST_TIED,,false,,,
2002,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
2003,Indianapolis,Indiana Fever,WNBA,East,,,,,false,,,
2004,Indianapolis,Indiana Fever,WNBA,East,,,LAST,,false,,,
2005,Indianapolis,Indiana Fever,WNBA,East,,,,,true,1,false,false
2006,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
2007,Indianapolis,Indiana Fever,WNBA,East,,,,,true,1,false,false
2008,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
2009,Indianapolis,Indiana Fever,WNBA,East,,,FIRST,,true,2,true,false
2010,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
2011,Indianapolis,Indiana Fever,WNBA,East,,,FIRST_TIED,,true,1,false,false
2012,Indianapolis,Indiana Fever,WNBA,East,,,,,true,3,true,true
2013,Indianapolis,Indiana Fever,WNBA,East,,,,,true,1,false,false
2014,Indianapolis,Indiana Fever,WNBA,East,,,,,true,1,false,false
2015,Indianapolis,Indiana Fever,WNBA,East,,,,,true,2,true,false
2016,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
2017,Indianapolis,Indiana Fever,WNBA,East,,,LAST,,false,,,
2018,Indianapolis,Indiana Fever,WNBA,East,,LAST,LAST,,false,,,
2019,Indianapolis,Indiana Fever,WNBA,East,,,,,false,,,
2020,Indianapolis,Indiana Fever,WNBA,East,,,,,false,,,
2021,Indianapolis,Indiana Fever,WNBA,East,,LAST,LAST,,false,,,
2022,Indianapolis,Indiana Fever,WNBA,East,,LAST,LAST,,false,,,
2023,Indianapolis,Indiana Fever,WNBA,East,,,LAST,,false,,,
2024,Indianapolis,Indiana Fever,WNBA,East,,,,,true,0,false,false
