season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1997,Salt Lake City,Utah Starzz,WNBA,West,,LAST,LAST,,,,,
1998,Salt Lake City,Utah Starzz,WNBA,West,,,LAST_TIED,,,,,
1999,Salt Lake City,Utah Starzz,WNBA,West,,,LAST_TIED,,,,,
2000,Salt Lake City,Utah Starzz,WNBA,West,,,,,,,,
2001,Salt Lake City,Utah Starzz,WNBA,West,,,,,true,0,,
2002,Salt Lake City,Utah Starzz,WNBA,West,,,,,true,1,,
2003,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,,,,
2004,San Antonio,San Antonio Silver Stars,WNBA,West,,LAST,LAST,,,,,
2005,San Antonio,San Antonio Silver Stars,WNBA,West,,,LAST,,,,,
2006,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,,,,
2007,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,true,1,,
2008,San Antonio,San Antonio Silver Stars,WNBA,West,,FIRST,FIRST,,true,2,true,
2009,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,true,0,,
2010,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,true,0,,
2011,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,true,0,,
2012,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,true,0,,
2013,San Antonio,San Antonio Silver Stars,WNBA,West,,,,,,,,
2014,San Antonio,San Antonio Stars,WNBA,West,,,,,true,0,,
2015,San Antonio,San Antonio Stars,WNBA,West,,LAST,LAST,,,,,
2016,San Antonio,San Antonio Stars,WNBA,West,,LAST,LAST,,,,,
2017,San Antonio,San Antonio Stars,WNBA,West,,LAST,LAST,,,,,
2018,Las Vegas,Las Vegas Aces,WNBA,West,,,LAST,,,,,
2019,Las Vegas,Las Vegas Aces,WNBA,West,,,,,true,1,,
2020,Las Vegas,Las Vegas Aces,WNBA,West,,FIRST_TIED,FIRST_TIED,,true,1,true,
2021,Las Vegas,Las Vegas Aces,WNBA,West,,,FIRST,,true,0,,
2022,Las Vegas,Las Vegas Aces,WNBA,West,,FIRST_TIED,FIRST,,true,3,true,true
2023,Las Vegas,Las Vegas Aces,WNBA,West,,FIRST,FIRST,,true,3,true,true
