season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1997,New York,New York Liberty,WNBA,East,,,,,true,1,true,
1998,New York,New York Liberty,WNBA,East,,,,,,,,
1999,New York,New York Liberty,WNBA,East,,,FIRST,,true,1,true,
2000,New York,New York Liberty,WNBA,East,,,FIRST,,true,2,true,
2001,New York,New York Liberty,WNBA,East,,,,,true,1,,
2002,New York,New York Liberty,WNBA,East,,,FIRST_TIED,,true,2,true,
2003,New York,New York Liberty,WNBA,East,,,,,,,,
2004,New York,New York Liberty,WNBA,East,,,FIRST_TIED,,true,1,,
2005,New York,New York Liberty,WNBA,East,,,,,true,0,,
2006,New York,New York Liberty,WNBA,East,,,,,,,,
2007,New York,New York Liberty,WNBA,East,,,,,true,0,,
2008,New York,New York Liberty,WNBA,East,,,,,true,1,,
2009,New York,New York Liberty,WNBA,East,,,LAST,,,,,
2010,New York,New York Liberty,WNBA,East,,,FIRST_TIED,,true,1,,
2011,New York,New York Liberty,WNBA,East,,,,,true,0,,
2012,New York,New York Liberty,WNBA,East,,,,,true,0,,
2013,New York,New York Liberty,WNBA,East,,,,,,,,
2014,New York,New York Liberty,WNBA,East,,,,,,,,
2015,New York,New York Liberty,WNBA,East,,FIRST,FIRST,,true,1,,
2016,New York,New York Liberty,WNBA,East,,,FIRST,,true,0,,
2017,New York,New York Liberty,WNBA,East,,,FIRST,,true,0,,
2018,New York,New York Liberty,WNBA,East,,,,,,,,
2019,New York,New York Liberty,WNBA,East,,,,,,,,
2020,New York,New York Liberty,WNBA,East,,LAST,LAST,,,,,
2021,New York,New York Liberty,WNBA,East,,,,,true,0,,
2022,New York,New York Liberty,WNBA,East,,,,,true,0,,
2023,New York,New York Liberty,WNBA,East,,,FIRST,,true,2,true,false
2024,New York,New York Liberty,WNBA,East,,FIRST,FIRST,,true,3,true,true
