season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1997,Phoenix,Phoenix Mercury,WNBA,West,,,FIRST,,true,0,,
1998,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,true,
1999,Phoenix,Phoenix Mercury,WNBA,West,,,LAST_TIED,,,,,
2000,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,0,,
2001,Phoenix,Phoenix Mercury,WNBA,West,,,,,,,,
2002,Phoenix,Phoenix Mercury,WNBA,West,,,,,,,,
2003,Phoenix,Phoenix Mercury,WNBA,West,,LAST,LAST,,,,,
2004,Phoenix,Phoenix Mercury,WNBA,West,,,,,,,,
2005,Phoenix,Phoenix Mercury,WNBA,West,,,,,,,,
2006,Phoenix,Phoenix Mercury,WNBA,West,,,,,,,,
2007,Phoenix,Phoenix Mercury,WNBA,West,,,FIRST,,true,3,true,true
2008,Phoenix,Phoenix Mercury,WNBA,West,,,LAST_TIED,,,,,
2009,Phoenix,Phoenix Mercury,WNBA,West,,FIRST,FIRST,,true,3,true,true
2010,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,,
2011,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,,
2012,Phoenix,Phoenix Mercury,WNBA,West,,,LAST,,,,,
2013,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,,
2014,Phoenix,Phoenix Mercury,WNBA,West,,FIRST,FIRST,,true,3,true,true
2015,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,,
2016,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,2,,
2017,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,2,,
2018,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,2,,
2019,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,0,,
2020,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,1,,
2021,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,3,true,
2022,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,0,,
2023,Phoenix,Phoenix Mercury,WNBA,West,,LAST,LAST,,,,,
2024,Phoenix,Phoenix Mercury,WNBA,West,,,,,true,0,,
