season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1998,Washington,Washington Mystics,WNBA,East,,LAST,LAST,,,,,
1999,Washington,Washington Mystics,WNBA,East,,,,,,,,
2000,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2001,Washington,Washington Mystics,WNBA,East,,LAST_TIED,LAST_TIED,,,,,
2002,Washington,Washington Mystics,WNBA,East,,,,,true,1,,
2003,Washington,Washington Mystics,WNBA,East,,,LAST,,,,,
2004,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2005,Washington,Washington Mystics,WNBA,East,,,,,,,,
2006,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2007,Washington,Washington Mystics,WNBA,East,,,,,,,,
2008,Washington,Washington Mystics,WNBA,East,,,,,,,,
2009,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2010,Washington,Washington Mystics,WNBA,East,,,FIRST_TIED,,true,0,,
2011,Washington,Washington Mystics,WNBA,East,,,LAST,,,,,
2012,Washington,Washington Mystics,WNBA,East,,LAST,LAST,,,,,
2013,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2014,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2015,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2016,Washington,Washington Mystics,WNBA,East,,,LAST,,,,,
2017,Washington,Washington Mystics,WNBA,East,,,,,true,2,,
2018,Washington,Washington Mystics,WNBA,East,,,,,true,2,true,
2019,Washington,Washington Mystics,WNBA,East,,FIRST,FIRST,,true,2,true,true
2020,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2021,Washington,Washington Mystics,WNBA,East,,,,,,,,
2022,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2023,Washington,Washington Mystics,WNBA,East,,,,,true,0,,
2024,Washington,Washington Mystics,WNBA,East,,,,,false,,,
