franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
120,282,22,Houston Comets,5,East,,FIRST,FIRST,,true,2,true,true
126,282,35,New York Liberty,5,East,,,,,true,1,true,false
114,282,8,Charlotte Sting,5,East,,,LAST_TIED,,true,0,false,false
116,282,11,Cleveland Rockers,5,East,,,LAST_TIED,,false,,,
127,282,40,Phoenix Mercury,5,West,,,FIRST,,true,0,false,false
123,282,27,Los Angeles Sparks,5,West,,,,,false,,,
129,282,48,Sacramento Monarchs,5,West,,,,,false,,,
122,282,49,Utah Starzz,5,West,,LAST,LAST,,false,,,
116,288,11,Cleveland Rockers,5,East,,,FIRST,,true,0,false,false
114,288,8,Charlotte Sting,5,East,,,,,true,0,false,false
126,288,35,New York Liberty,5,East,,,,,false,,,
118,288,16,Detroit Shock,5,East,,,,,false,,,
131,288,63,Washington Mystics,5,East,,LAST,LAST,,false,,,
120,288,22,Houston Comets,5,West,,FIRST,FIRST,,true,2,true,true
127,288,40,Phoenix Mercury,5,West,,,,,true,1,true,false
123,288,27,Los Angeles Sparks,5,West,,,,,false,,,
129,288,48,Sacramento Monarchs,5,West,,,LAST_TIED,,false,,,
122,288,49,Utah Starzz,5,West,,,LAST_TIED,,false,,,
126,294,35,New York Liberty,5,East,,,FIRST,,true,1,true,false
114,294,8,Charlotte Sting,5,East,,,,,true,1,false,false
118,294,16,Detroit Shock,5,East,,,,,true,0,false,false
117,294,37,Orlando Miracle,5,East,,,,,false,,,
131,294,63,Washington Mystics,5,East,,,,,false,,,
116,294,11,Cleveland Rockers,5,East,,LAST,LAST,,false,,,
120,294,22,Houston Comets,5,West,,FIRST,FIRST,,true,2,true,true
123,294,27,Los Angeles Sparks,5,West,,,,,true,1,false,false
129,294,48,Sacramento Monarchs,5,West,,,,,true,0,false,false
125,294,31,Minnesota Lynx,5,West,,,LAST_TIED,,false,,,
127,294,40,Phoenix Mercury,5,West,,,LAST_TIED,,false,,,
122,294,49,Utah Starzz,5,West,,,LAST_TIED,,false,,,
126,300,35,New York Liberty,5,East,,,FIRST,,true,2,true,false
116,300,11,Cleveland Rockers,5,East,,,,,true,1,false,false
117,300,37,Orlando Miracle,5,East,,,,,true,0,false,false
131,300,63,Washington Mystics,5,East,,,,,true,0,false,false
118,300,16,Detroit Shock,5,East,,,,,false,,,
124,300,29,Miami Sol,5,East,,,,,false,,,
121,300,23,Indiana Fever,5,East,,,,,false,,,
114,300,8,Charlotte Sting,5,East,,,LAST,,false,,,
123,300,27,Los Angeles Sparks,5,West,,FIRST,FIRST,,true,1,false,false
120,300,22,Houston Comets,5,West,,,,,true,3,true,true
129,300,48,Sacramento Monarchs,5,West,,,,,true,0,false,false
127,300,40,Phoenix Mercury,5,West,,,,,true,0,false,false
122,300,49,Utah Starzz,5,West,,,,,false,,,
125,300,31,Minnesota Lynx,5,West,,,,,false,,,
128,300,42,Portland Fire,5,West,,,,,false,,,
130,300,53,Seattle Storm,5,West,,LAST,LAST,,false,,,
116,306,11,Cleveland Rockers,5,East,,,FIRST,,true,0,false,false
126,306,35,New York Liberty,5,East,,,,,true,1,false,false
