id,name,start_year,end_year,league_id,total_major_divisions,total_minor_divisions,postseason_rounds
282,1997 WNBA Season,1997,1997,5,2,0,2
288,1998 WNBA Season,1998,1998,5,2,0,2
294,1999 WNBA Season,1999,1999,5,2,0,3
300,2000 WNBA Season,2000,2000,5,2,0,3
306,2001 WNBA Season,2001,2001,5,2,0,3
312,2002 WNBA Season,2002,2002,5,2,0,3
318,2003 WNBA Season,2003,2003,5,2,0,3
324,2004 WNBA Season,2004,2004,5,2,0,3
329,2005 WNBA Season,2005,2005,5,2,0,3
335,2006 WNBA Season,2006,2006,5,2,0,3
341,2007 WNBA Season,2007,2007,5,2,0,3
347,2008 WNBA Season,2008,2008,5,2,0,3
353,2009 WNBA Season,2009,2009,5,2,0,3
359,2010 WNBA Season,2010,2010,5,2,0,3
365,2011 WNBA Season,2011,2011,5,2,0,3
371,2012 WNBA Season,2012,2012,5,2,0,3
377,2013 WNBA Season,2013,2013,5,2,0,3
383,2014 WNBA Season,2014,2014,5,2,0,3
389,2015 WNBA Season,2015,2015,5,2,0,3
395,2016 WNBA Season,2016,2016,5,2,0,4
401,2017 WNBA Season,2017,2017,5,2,0,4
407,2018 WNBA Season,2018,2018,5,2,0,4
413,2019 WNBA Season,2019,2019,5,2,0,4
419,2020 WNBA Season,2020,2020,5,2,0,4
425,2021 WNBA Season,2021,2021,5,2,0,4
431,2022 WNBA Season,2022,2022,5,2,0,3
437,2023 WNBA Season,2023,2023,5,2,0,3
443,2024 WNBA Season,2024,2024,5,2,0,3
449,2025 WNBA Season,2025,2025,5,2,0,3
